"Region","Local Health Area","Year","Gender","Total","LT1"," 1 to 4"," 5 to 9","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 44","45 to 49","50 to 54","55 to 59","60 to 64","65 to 69","70 to 74","75 to 79","80 to 84","85 to 89","90+"
"0","British Columbia",2001,"F",2053501,19688,84832,119976,128056,135213,131623,134161,151931,171163,176433,162997,145387,107879,86669,76492,71762,63830,45963,26984,12462
"0","British Columbia",2001,"T",4076881,40637,174306,247113,262615,280545,268329,269613,302810,341128,348920,323144,291306,216345,172210,152599,137884,113087,75389,41241,17660
"0","British Columbia",2002,"M",2033086,20490,86975,124624,135678,144496,139311,132886,148654,164819,173079,162785,147443,117542,88962,76129,67633,49952,31602,14483,5543
"0","British Columbia",2002,"F",2067075,19277,82524,117529,127921,135322,135032,132221,150023,165953,176715,167194,147448,117261,90411,77556,71904,63710,48234,27397,13443
"0","British Columbia",2002,"T",4100161,39767,169499,242153,263599,279818,274343,265107,298677,330772,349794,329979,294891,234803,179373,153685,139537,113662,79836,41880,18986
"0","British Columbia",2003,"M",2044148,20800,85537,121614,136020,143277,142970,131268,145715,158112,174389,165639,149197,124890,93838,76888,68692,51111,33559,14751,5881
"0","British Columbia",2003,"F",2079789,19590,80821,114858,127830,133786,138308,130871,146913,160042,177704,170687,150578,125177,95143,78875,72486,63677,50340,27796,14307
"0","British Columbia",2003,"T",4123937,40390,166358,236472,263850,277063,281278,262139,292628,318154,352093,336326,299775,250067,188981,155763,141178,114788,83899,42547,20188
"0","British Columbia",2004,"M",2058436,20631,85137,119035,135144,143718,145302,131739,142078,153580,175807,167230,152266,130890,99018,78449,69207,52449,35370,15214,6172
"0","British Columbia",2004,"F",2096581,19530,79942,112600,127377,132916,141609,131948,143041,155515,178774,173173,154739,132102,100628,80959,72513,63642,52193,28350,15030
"0","British Columbia",2004,"T",4155017,40161,165079,231635,262521,276634,286911,263687,285119,309095,354581,340403,307005,262992,199646,159408,141720,116091,87563,43564,21202
"0","British Columbia",2005,"M",2078852,20912,85143,116472,134259,145073,147821,133629,138563,152005,175826,169427,155391,138020,103416,80363,69557,53973,36132,16636,6234
"0","British Columbia",2005,"F",2116912,19633,79546,110322,126421,133668,143014,134467,140135,153769,177862,175283,159319,139775,105230,83177,72722,64057,52784,30248,15480
"0","British Columbia",2005,"T",4195764,40545,164689,226794,260680,278741,290835,268096,278698,305774,353688,344710,314710,277795,208646,163540,142279,118030,88916,46884,21714
"0","British Columbia",2006,"M",2101387,21023,85823,114569,132957,146783,148091,136497,135672,152106,173227,171537,159269,143857,108402,83335,69933,55832,36939,18167,7368
